tile,date,t_top,t_bottom,t_query_start,t_query_end,west,east,south,north,cloud_pct
11SPT,2025-10-01,2025-10-01T18:34:57.051000+00:00,2025-10-01T18:35:12.051000+00:00,2025-10-01T18:34:27.051000+00:00,2025-10-01T18:35:42.051000+00:00,-115.92542529441172,-114.71988555132617,33.33099547988832,34.336927079421784,0.164471916151572
11SPT,2025-10-06,2025-10-06T18:35:11.308000+00:00,2025-10-06T18:35:26.308000+00:00,2025-10-06T18:34:41.308000+00:00,2025-10-06T18:35:56.308000+00:00,-115.92542529441172,-114.71988555132614,33.33099547988832,34.336927079421784,0.216429275284422
11SPT,2025-10-11,2025-10-11T18:34:55.564000+00:00,2025-10-11T18:35:10.564000+00:00,2025-10-11T18:34:25.564000+00:00,2025-10-11T18:35:40.564000+00:00,-115.92542529441172,-114.71988555132614,33.33099547988832,34.336927079421784,15.2069634805459
11SPT,2025-10-16,2025-10-16T18:35:07.135000+00:00,2025-10-16T18:35:22.135000+00:00,2025-10-16T18:34:37.135000+00:00,2025-10-16T18:35:52.135000+00:00,-115.92542529441172,-114.71988555132617,33.33099547988832,34.336927079421784,0.163367075756218
11SPT,2025-10-18,2025-10-18T18:35:11.268000+00:00,2025-10-18T18:35:26.268000+00:00,2025-10-18T18:34:41.268000+00:00,2025-10-18T18:35:56.268000+00:00,-115.92542529441172,-114.71988555132617,33.33099547988832,34.336927079421784,0.178566096330138
11SPT,2025-10-26,2025-10-26T18:35:09.642000+00:00,2025-10-26T18:35:24.642000+00:00,2025-10-26T18:34:39.642000+00:00,2025-10-26T18:35:54.642000+00:00,-115.92542529441172,-114.71988555132617,33.33099547988832,34.336927079421784,44.7630266654722
11SPT,2025-10-31,2025-10-31T18:34:54.701000+00:00,2025-10-31T18:35:09.701000+00:00,2025-10-31T18:34:24.701000+00:00,2025-10-31T18:35:39.701000+00:00,-115.92542529441172,-114.71988555132614,33.33099547988832,34.336927079421784,53.3815879841142
